Economic Sector,Status,Zipcode,Company,Job Title,Origin Country,Pay
IT,Accepted,10010,NETSOFT USA INC.,Computer Software Engineers; Applications,ARMENIA,75629
Other Economic Sector,Accepted,11354,EBENEZER MISSION CHURCH,File Clerks,SOUTH KOREA,none
Retail,Denied,11208,AMER BROTHERS INTERNATIONAL; INC.,First-Line Supervisors/Managers of Retail Sales Workers,PAKISTAN,none
Other Economic Sector,Accepted,10012,NINE MUSES AND APOLLO INC,Public Relations Specialists,SINGAPORE,46176
Retail,Accepted,11372,V.H.C. USA INCD/B/A VITAMIN HOMEOPTAHY CENTER,Retail Salespersons,CANADA,none
Hospitality,Accepted,10017,WORLD JOINT CORP. D/B/A IACE TRAVEL; INC.,Computer Software Engineers; Applications,JAPAN,89336
Hospitality,Denied,11211,L.A. BURRITO;  INC,Cooks; Restaurant,MEXICO,none
Other Economic Sector,Accepted,10022,MCKINSEY & COMPANY; INC UNITED STATES,Operations Research Analysts,INDIA,38646
Construction,Denied,11102,VORDONIA CONTRACTING & SUPLIES CORP,Construction Carpenters,ECUADOR,none
Retail,Denied,10314,VICTORY PRODUCE;LLC.  DBA TOP TOMATO,First-Line Supervisors and Manager/Supervisors - Logging Workers,MEXICO,none
Other Economic Sector,Denied,11367,AIRPLUS CONTRACTING INC.,Carpenters,PAKISTAN,none
Not Available,Denied,11377,QUALITY RECRUITMENT & PLACEMENT SERVICES,Not Available,PHILIPPINES,none
Hospitality,Denied,10022,SHERWOOD FINE LTD,Food Preparation Workers,MEXICO,none
IT,Denied,10122,BUSINESS MANAGEMENT INTERNATIONAL INC,Computer Software Engineers; Systems Software,SWEDEN,81078
Other Economic Sector,Denied,10025,SCOTT JEFFREY COHEN,Maids and Housekeeping Cleaners,COLOMBIA,none
Other Economic Sector,Denied,10010,FLY COMMUNICATIONS; INC.,Commercial and Industrial Designers,TRINIDAD AND TOBAGO,none
Health Care,Denied,11224,FIRST CLASS PHYSICAL THERAPY; PC,Medical and Health Services Managers,RUSSIA,none
Finance,Accepted,10020,MOORE CAPITAL MANAGEMENT; LP,Financial Analysts,INDIA,136989
